"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Books API Testing","Books CRUD Operations","Books API Query Parameters","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Delete Non-existent Book","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Book Creation Response Time","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Non-existent Book","1","0","0","0","0"
"Security Testing","Input Validation and Attack Prevention","Large Payload DOS Prevention","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create New Book","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","HTTP Protocol - Malformed JSON","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Book with Invalid Data","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Data Consistency - ID Mismatch","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Invalid Relationship Handling","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Book ID Mismatch","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Boundary Testing - Maximum Integer Values","0","0","1","0","0"
"Security Testing","Input Validation and Attack Prevention","SQL Injection Prevention","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Create Author with Long Data","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Data Consistency","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Performance Test","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Existing Book","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Book-Author Relationship","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Input Validation - Special Characters","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","HTTP Protocol - Wrong Content Type","0","1","0","0","0"
"Books API Testing","Books CRUD Operations","Update Book with Negative Page Count","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Performance Test","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Get Author by Invalid ID","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Book with Null Values","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Delete Book","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Concurrent Operations","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Update Non-existent Author","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Get All Books Empty Response Handling","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Relationship Boundary Conditions","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Null Values","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Maximum Length Data","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Input Validation - Empty Fields","1","0","0","0","0"
"Integration Testing","Books and Authors Integration","Bulk Operations","0","0","1","0","0"
"Security Testing","Input Validation and Attack Prevention","Header Injection Prevention","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Get All Books","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Book Partial Fields","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Concurrent Operations - Double Deletion","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Get Author by ID","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Input Validation - Null Fields","1","0","0","0","0"
"Security Testing","Input Validation and Attack Prevention","XSS Prevention","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Negative Page Count","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Unicode Characters","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Author Deletion Impact","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Create Duplicate Books","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Long Data","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Get Book by Invalid ID","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Retrieval Operations with Relationships","1","0","0","0","0"
"Integration Testing","Books and Authors Integration","Error Handling Integration","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Edge Cases - Zero ID","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Concurrent Book Operations","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Delete Non-existent Author","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Create New Author","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Update Existing Author","0","0","1","0","0"
