"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 21 03:10:56 UTC 2025","Sat Jun 21 03:10:57 UTC 2025","600","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testPartialUpdateAuthor","testPartialUpdateAuthor","Verify partial update of author with single field change"
"passed","Sat Jun 21 03:10:51 UTC 2025","Sat Jun 21 03:10:52 UTC 2025","896","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor","Verify that an author can be deleted successfully"
"passed","Sat Jun 21 03:11:08 UTC 2025","Sat Jun 21 03:11:09 UTC 2025","1157","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetBooksWithQueryParameters","testGetBooksWithQueryParameters","Verify API behavior with query parameters if supported"
"passed","Sat Jun 21 03:11:02 UTC 2025","Sat Jun 21 03:11:03 UTC 2025","905","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testDeleteBook","testDeleteBook","Verify that a book can be deleted successfully"
"failed","Sat Jun 21 03:11:03 UTC 2025","Sat Jun 21 03:11:03 UTC 2025","292","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testDeleteBookByNegativeId","testDeleteBookByNegativeId","Verify proper error handling when deleting a book with negative ID"
"passed","Sat Jun 21 03:10:57 UTC 2025","Sat Jun 21 03:10:57 UTC 2025","615","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor","Verify that an existing author can be updated successfully"
"passed","Sat Jun 21 03:10:55 UTC 2025","Sat Jun 21 03:10:55 UTC 2025","285","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorByInvalidId","testGetAuthorByInvalidId","Verify proper error handling when requesting an author with invalid ID"
"passed","Sat Jun 21 03:10:48 UTC 2025","Sat Jun 21 03:10:48 UTC 2025","346","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithInvalidBookReference","testCreateAuthorWithInvalidBookReference","Verify proper error handling when creating author with invalid book ID reference"
"passed","Sat Jun 21 03:11:28 UTC 2025","Sat Jun 21 03:11:29 UTC 2025","1420","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testInvalidRelationshipScenarios","testInvalidRelationshipScenarios","Test comprehensive invalid relationship scenarios"
"passed","Sat Jun 21 03:11:06 UTC 2025","Sat Jun 21 03:11:07 UTC 2025","1183","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetAllBooksWhenEmpty","testGetAllBooksWhenEmpty","Verify handling when no books exist in the system"
